NOM_COLLECTIVITE,ID_COLLECTIVITE,DELIB_DATE,DELIB_NUM,DELIB_OBJET,DIRECTION_EMETTRICE,DELEGATION_EMETTRICE
Marseille,21130055300030,2019-11-25,19/1291/ECSS,Approbation du principe de démolition et reconstruction des écoles primaires Kallisté et Vayssiere - 15ème et 14ème arrondissement - Financement.,DIRECTION ETUDES ET GRANDS PROJETS DE CONSTRUCTION,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300031,2019-11-25,19/1290/ECSS,"ANRU - Requalification du Groupe Scolaire La Viste Bousquet - 38, route Nationale de La Viste - 15ème arrondissement - Approbation de l'augmentation de l'affectation de l'autorisation de programme relative aux études et aux travaux - Financement.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300032,2019-11-25,19/1289/ECSS,"SERVICE DE LA RESTAURATION SCOLAIRE - Approbation de la convention de mise en oeuvre du dispositif ""Petits déjeuners"" dans la commune de Marseille.",DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL,
Marseille,21130055300033,2019-11-25,19/1288/ECSS,Démolition Reconstruction de l'école primaire Bouge - Rue de Marathon - 13ème arrondissement - Approbation du programme - Lancement du concours de maîtrise d'oeuvre - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux - Financement.,DIRECTION ETUDES ET GRANDS PROJETS DE CONSTRUCTION,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300034,2019-11-25,19/1286/ECSS,SERVICE DE LA RESTAURATION SCOLAIRE - Assistance au renouvellement d'une délégation de service public de la restauration scolaire - Protocole transactionnel - Société Calia Conseil.,DIRECTION DE L'EDUCATION ET DE LA JEUNESSE,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300035,2019-11-25,19/1285/ECSS,SERVICE DES RESSOURCES PARTAGEES - Participation financière de la Ville de Marseille aux dépenses de fonctionnement des écoles privées sous contrat d'association avec l'Etat - Approbation des conventions triennales.,DIRECTION DE L'EDUCATION ET DE LA JEUNESSE,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300036,2019-11-25,19/1284/ECSS,"Renouvellement de la délégation de service public pour la gestion, l'animation et l'exploitation des Espaces Culturels du Silo d'Arenc - Choix du mode de gestion - Désignation de la Commission de Délégation de Service Public.",DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300037,2019-11-25,19/1283/ECSS,SERVICE DES RESSOURCES PARTAGEES - Ajustements organisationnels et redistribution de certaines missions entre services de la Direction de l'Education et de la Jeunesse.,DIRECTION DE L'EDUCATION ET DE LA JEUNESSE,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300038,2019-11-25,19/1282/ECSS,Convention territoriale globale de service aux familles entre la Caisse d'Allocation familiales des Bouches-du-Rhône et la Ville de Marseille.,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL,
Marseille,21130055300039,2019-11-25,19/1281/ECSS,Approbation du versement d'un acompte à l'Institut National Supérieur d'Enseignement Artistique Marseille Méditerranée (INSEAMM) au titre de l'année 2020.,DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300040,2019-11-25,19/1280/ECSS,Approbation de la convention de gestion conclue entre la Ville de Marseille et l'EPCC lnstitut National Supérieur d'Enseignement Artistique Marseille Méditerranée (INSEAMM).,DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300041,2019-11-25,19/1279/UAGP,"SERVICE DE L'ACTION FONCIERE - 3ème arrdt. - Rue Loubon-Boulevard Boues - Acquisition auprès de l'Etablissement Public Foncier PACA d'un tènement non bâti de 8 043 m² environ, cadastré 203 811L n°158, 162, 114, 164, 132, 45 et 144, et de 5 lots de copropriété dans un immeuble édifié sur la parcelle cadastrée 203 811 L n°133, en vue de la réalisation d'un équipement scolaire et d'espaces publics - Rectificatif à la délibération n°18/0827/UAGP du 8/10/2018 - Rectificatif du prix d'acquisition TTC.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300042,2019-11-25,19/1278/UAGP,"SERVICE DE L'ACTION FONCIERE - 1er arrondissement - Quartier Opéra -Opération Grand Centre-Ville - Cession de 2 immeubles sis 3 et 5, rue Molière au profit de la SPL SOLEAM en vue de leur restructuration en locaux pour les besoins de l'opéra municipal.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300043,2019-11-25,19/1276/UAGP,Approbation de l'avant-projet d'acte de qualification de la Grande Opération d'Urbanisme du Centre-Ville de Marseille-Quartiers Libres Saint-Charles Belle de Mai-Noailles-Opéra-Thiers-Belsunce-Chapitre.,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE",
Marseille,21130055300044,2019-11-25,19/1275/UAGP,"SERVICE DE L'ACTION FONCIÈRE - 13ème arrondissement - Saint Just - 81, avenue Corot - Cession à l'école Lacordaire.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300045,2019-11-25,19/1274/UAGP,"1er arrondissement - 124, la Canebière - Cession à la Métropole Aix-Marseille Provence d'un lot de copropriété dépendant d'un immeuble sis 124, la Canebière.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300046,2019-11-25,19/1273/UAGP,"SERVICE DE L'ACTION FONCIERE - 3ème arrondissement - 22, traverse de Gibraltar - Cession à la Métropole Aix-Marseille Provence d'un terrain nécessaire à l'élargissement de la traverse de Gibraltar.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300047,2019-11-25,19/1272/UAGP,14ème arrondissement - PRU Saint Barthélémy-Picon-Busserine - Echange foncier de terrains  entre la Ville de Marseille et Habitat Marseille Provence Aix-Marseille-Provence Métropole.,DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300048,2019-11-25,19/1271/UAGP,"SERVICE DE L'ACTION FONCIÈRE - Aubagne - 270, chemin du Camp Lambert - Ancien canal de la Millière, cession de tronçon à Monsieur De Troyer-Merk.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300049,2019-11-25,19/1270/UAGP,SERVICE DE L'ACTION FONCIÈRE - 13ème arrondissement - Quartier Saint-Jérôme - Rue Fernand Léger - Échange de terrains sans soulte entre la Ville de Marseille et Habitat Marseille Provence Aix-Marseille-Provence Métropole.,DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300050,2019-11-25,19/1269/UAGP,"SERVICE DE L'ACTION FONCIERE - DIRECTION GENERALE DES SERVICES - DIRECTION DE L'EVALUATION, DES PROJETS PARTENARIAUX ET DE LA GESTION EXTERNALISEE - 7ème arrondissement - Fort d'Entrecasteaux - Quartier le Pharo - Boulevard Charles Livon - Appel à projets visant la reconversion du Fort d'Entrecasteaux - Approbation du bail emphytéotique administratif sous conditions suspensives au profit de l'association LA CITADELLE DE MARSEILLE.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300051,2019-11-25,19/1268/UAGP,"SERVICE DE L'ACTION FONCIERE - DIRECTION GENERALE DES SERVICES - DIRECTION DE L'EVALUATION, DES PROJETS PARTENARIAUX ET DE LA GESTION EXTERNALISEE - 7ème arrondissement - Quartier le Pharo - Boulevard Charles Livon - Fort d'Entrecasteaux - Désaffectation et déclassement.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300052,2019-11-25,19/1267/UAGP,SERVICE  GESTION  IMMOBILIÈRE ET PATRIMONIALE - Approbation des subventions en nature accordées à des organismes dont l'activité présente un intérêt général local.,DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300053,2019-11-25,19/1266/UAGP,"Confortement du mur de soutènement de l'école maternelle Bernabo - 1, traverse Bernabo - 15ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux.",DIRECTION TERRITORIALE DES BATIMENTS NORD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300054,2019-11-25,19/1265/UAGP,"SERVICE ETUDES EXPERTISES ET CONNAISSANCES - Relogement de services municipaux et du Comité d'Action Sociale au sein de l'immeuble ""Grand Horizon"" au 11-13, boulevard de Dunkerque - 2ème arrondissement - Approbation de l'autorisation de programme mobilier.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300055,2019-11-25,19/1264/UAGP,"SERVICE ETUDES EXPERTISES ET CONNAISSANCES - Relogement de services municipaux et du Comité d'Action Sociale au sein de l'immeuble ""Grand Horizon"" au 11-13, boulevard de Dunkerque - 2ème arrondissement - Approbation de l'autorisation de programme Etudes et Travaux.",DIRECTION DE LA STRATEGIE FONCIERE ET DU PATRIMOINE,"DIRECTION GENERALE ADJOINTE DE L'URBANISME, DU FONCIER ET DU PATRIMOINE"
Marseille,21130055300056,2019-11-25,19/1263/EFAG,Protocole transactionnel entre la Ville de Marseille et la société Hygiène 2000.,DIRECTION DES OPERATIONS FUNERAIRES,
Marseille,21130055300057,2019-11-25,19/1262/EFAG,Dommages occasionnés par le personnel de la Régie Municipale des Pompes Funèbres.,DIRECTION DES OPERATIONS FUNERAIRES,
Marseille,21130055300058,2019-11-25,19/1261/EFAG,"Réfection des toitures et rénovation des structures de l'Eglise Saint Pierre Saint Paul - 64, rue Léon Bourgeois - 1er arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et  travaux - Financement.",DIRECTION TERRITORIALE DES BATIMENTS SUD,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300059,2019-11-25,19/1260/EFAG,"SERVICE RAYONNEMENT ÉCONOMIQUE - Étude de faisabilité pour la création d'un lieu d'accueil pour la filière cinématographique et audivisuelle, composante d'une ""Cité du Cinéma"" à Marseille.",DIRECTION DES PROJETS ECONOMIQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300060,2019-11-25,19/1259/EFAG,SERVICE RAYONNEMENT ECONOMIQUE - Attribution d'une subvention à la Métropole Aix-Marseille Provence au titre de la participation de la Ville de Marseille au Salon de l'International de l'Immobilier (MIPIM) et au Salon de l'Immobilier d'Entreprise (SIMI) 2020 - Remboursement des frais réels de mission - Approbation d'une convention.,DIRECTION DES PROJETS ECONOMIQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300061,2019-11-25,19/1258/EFAG,Garantie d'emprunt - Société SOGIMA - Le Kentro/Îlot 1A - Construction de 26 logements sociaux dans le 2ème arrondissement.,DIRECTION DE LA DETTE,DIRECTION GENERALE ADJOINTE DES FINANCES ET DES MOYENS GENERAUX
Marseille,21130055300062,2019-11-25,19/1257/EFAG,Garantie d'emprunt - ESH Logéo Méditerranée devenue 3F Sud - Réaménagement de deux emprunts contractés auprès de la Caisse des Dépôts et Consignations et garantis par la Ville.,DIRECTION DE LA DETTE,DIRECTION GENERALE ADJOINTE DES FINANCES ET DES MOYENS GENERAUX
Marseille,21130055300063,2019-11-25,19/1256/EFAG,Garantie d'emprunt - 3F Résidences - Construction d'une Résidence de Jeunes Actifs (RJA) de 66 logements dans le 4ème arrondissement.,DIRECTION DE LA DETTE,DIRECTION GENERALE ADJOINTE DES FINANCES ET DES MOYENS GENERAUX
Marseille,21130055300064,2019-11-25,19/1255/EFAG,"Garantie d'emprunt - Société LOGIREM - La Bricarde - Réhabilitation du groupe ""La Bricarde"" comprenant 686 logements sociaux dans le 15ème arrondissement.",DIRECTION DE LA DETTE,DIRECTION GENERALE ADJOINTE DES FINANCES ET DES MOYENS GENERAUX
Marseille,21130055300065,2019-11-25,19/1254/EFAG,Garantie d'emprunt - Société LOGIREM - Figuière - Construction de 18 logements sociaux dans le 4ème arrondissement.,DIRECTION DE LA DETTE,DIRECTION GENERALE ADJOINTE DES FINANCES ET DES MOYENS GENERAUX
Marseille,21130055300066,2019-11-25,19/1253/EFAG,SOGIMA - Approbation du rapport de gestion et des comptes - Exercice 2018.,"DIRECTION DE L'EVALUATION, DES PROJETS PARTENARIAUX ET DE LA GESTION EXTERNALISEE",DIRECTION GENERALE DES SERVICES
Marseille,21130055300067,2019-11-25,19/1252/EFAG,MARSEILLE HABITAT - Approbation du rapport de gestion et des comptes pour l'exercice 2018.,"DIRECTION DE L'EVALUATION, DES PROJETS PARTENARIAUX ET DE LA GESTION EXTERNALISEE",DIRECTION GENERALE DES SERVICES
Marseille,21130055300068,2019-11-25,19/1251/EFAG,Composition de la Commission Consultative des Services Publics Locaux - Remplacement d'un membre.,"DIRECTION DE L'EVALUATION, DES PROJETS PARTENARIAUX ET DE LA GESTION EXTERNALISEE",DIRECTION GENERALE DES SERVICES
Marseille,21130055300069,2019-11-25,19/1250/EFAG,DIRECTION DES ASSURANCES ,DIRECTION GENERALE ADJOINTE DE L'ACTION JURIDIQUE,
Marseille,21130055300070,2019-11-25,19/1249/EFAG,DIRECTION GENERALE ADJOINTE DES RESSORCES HUMAINES - Recrutement de personnel contractuel.,DIRECTION GENERALE ADJOINTE DES RESSOURCES HUMAINES,
Marseille,21130055300071,2019-11-25,19/1248/EFAG,Protocole d'accord relatif aux moyens syndicaux alloués aux organisations syndicales représentatives au sein de la Ville de Marseille suite aux élections professionnelles du 6 décembre 2018.,DIRECTION GENERALE ADJOINTE DES RESSOURCES HUMAINES,
Marseille,21130055300072,2019-11-25,19/1247/EFAG,Modification des statuts de la Congrégation des Religieuses Victimes du Sacré-Coeur de Jésus.,DIRECTION GENERALE DES SERVICES,
Marseille,21130055300073,2019-11-25,19/1246/EFAG,Contrat de Partenariat relatif au stade Orange Vélodrome et à ses abords - Présentation du rapport annuel d'exploitation du partenaire pour 2018.,"DIRECTION DE L'EVALUATION, DES PROJETS PARTENARIAUX ET DE LA GESTION EXTERNALISEE",DIRECTION GENERALE DES SERVICES
Marseille,21130055300074,2019-11-25,19/1245/DDCV,DPGR - désignation des représentants à la commission de suivi de site VALSUD.,DIRECTION DES RESSOURCES PARTAGEES (DGAVDE),DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300075,2019-11-25,19/1244/DDCV,SERVICE PREVENTION DE LA DELINQUANCE - Approbation de la convention relative à la création et au fonctionnement de la Maison de la Justice et du Droit de Marseille.,DIRECTION GENERALE ADJOINTE A LA SECURITE,
Marseille,21130055300076,2019-11-25,19/1243/DDCV,"SERVCE DE LA SANTE ET DES HANDICAPES - Subvention attribuée à l'association ""A chacun son 
Sport"" développant des projets de santé publique - Libéralité - Budget Primitif 2019 - 3ème Répartition.",DIRECTION DE LA SANTE DE LA SOLIDARITE ET DE L'INCLUSION,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300077,2019-11-25,19/1242/DDCV,SERVICE DE LA SANTE PUBLIQUE ET DES HANDICAPES -  Attribution d'une subvention en faveur de l'association Médecins du Monde - Budget Primitif 2019.,DIRECTION DE LA SANTE DE LA SOLIDARITE ET DE L'INCLUSION,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300078,2019-11-25,19/1241/DDCV,SERVICE ESPACES VERTS - Dénomination du Domaine des Soeurs Franciscaines Missionnaires de Marie - 6ème arrondissement.,DIRECTION DES PARCS ET JARDINS,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300079,2019-11-25,19/1240/ECSS,SERVICE DEVELOPPEMENT TERRITORIAL -  Attribution d'allocations à des chercheurs extérieurs qui s'installent dans des laboratoires marseillais.,DIRECTION DES PROJETS ECONOMIQUES,DIRECTION GENERALE ADJOINTE VILLE DURABLE ET EXPANSION
Marseille,21130055300080,2019-11-25,19/1239/ECSS,SERVICE DE LA JEUNESSE - Valorisation des activités 2019 du Service de la Jeunesse.,DIRECTION DE L'EDUCATION ET DE LA JEUNESSE,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300081,2019-11-25,19/1238/ECSS,SERVICE DELA JEUNESSE - Approbation d'une convention type de partenariat et ses annexes dans le cadre de la mise en oeuvre des activités proposées par le Service de la Jeunesse.,DIRECTION DE L'EDUCATION ET DE LA JEUNESSE,DIRECTION GENERALE ADJOINTE EDUCATION ENFANCE SOCIAL
Marseille,21130055300082,2019-11-25,19/1237/ECSS,Réhabilitation des écuries du Centre Equestre Pastré - 8ème arrondissement - Approbation de l'affectation de l'autorisation de programme relative aux études et aux travaux - Financement.,DIRECTION ETUDES ET GRANDS PROJETS DE CONSTRUCTION,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300083,2019-11-25,19/1236/ECSS,Convention de Délégation de Service Public n°18/0621 pour la gestion et l'exploitation du Complexe sportif René Magnac - Approbation de l'avenant n°2  portant indemnisation d'une perte d'exploitation et prise en charge de dépenses supplémentaires liées à l'état de la piscine.,DIRECTION DES SPORTS,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300084,2019-11-25,19/1235/ECSS,Approbation de l'avenant n°13 au contrat de Délégation de Service Public n°13/0904 - Avenant indemnitaire pour le remboursement des dépenses relatives à l'évolution du skatepark pour l'année 2019.,DIRECTION DES SPORTS,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300085,2019-11-25,19/1234/ECSS,Déclaration des avantages en nature attribués par la Ville de Marseille aux clubs sportifs.,DIRECTION DES SPORTS,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300086,2019-11-25,19/1233/ECSS,Travaux de réhabilitation des systèmes de filtration de diverses piscines municipales - Approbation de l'autorisation de programme relative aux études et aux travaux.,DIRECTION DES REGIES,DIRECTION GENERALE ADJOINTE ARCHITECTURE ET VALORISATION DES EQUIPEMENTS
Marseille,21130055300087,2019-11-25,19/1232/ECSS,Mise à disposition à titre gratuit d'équipements sportifs pour l'organisation de manifestations caritatives.,DIRECTION DES SPORTS,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300088,2019-11-25,19/1231/ECSS,"OPERA - Approbation de l'avenant n°1 à la convention de coproduction conclue entre la Ville de Marseille et la Régie culturelle régionale, la Communauté d'Agglomération du Grand Avignon, la Régie Opéra Nice Côte d'Azur et l'Opéra Toulon Provence-Méditerranée.",DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300089,2019-11-25,19/1230/ECSS,OPERA - Approbation des tarifs de défraiement pour l'Opéra de Marseille et le Théâtre de l'Odéon.,DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300090,2019-11-25,19/1229/ECSS,"OPERA - Ajout d'un alinéa à l'article H de la grille tarifaire de l'Opéra de Marseille et du Théâtre de l'Odéon, pour la saison 2019-2020.",DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300091,2019-11-25,19/1228/ECSS,"OPERA - Approbation de la convention conclue entre la Ville de Marseille et l'Institut Culturel Italien pour la coproduction du ""Récital des Lauréats"".",DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300092,2019-11-25,19/1227/ECSS,"OPERA - Approbation des conventions de partenariat conclues entre la Ville de Marseille et la société Indigo Infra France, la société Radio France, la société France Télévisions.",DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300093,2019-11-25,19/1226/ECSS,"OPERA - Approbation des conventions de mécénat conclues entre la Ville de Marseille et la Mutuelle Générale de l'Education Nationale (MGEN), la Compagnie de Provence, l'Herboristerie du Père Blaize.",DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300094,2019-11-25,19/1225/ECSS,OPERA - Approbation des conventions de partenariat conclues entre la Ville de Marseille et diverses institutions et établissements de santé pour la saison 2019-2020.,DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
Marseille,21130055300095,2019-11-25,19/1224/ECSS,"OPERA - Approbation de l'avenant n°1 à la convention de coproduction, conclu entre la Ville de Marseille et la Régie Culturelle Régionale, l'Opéra de Toulon, la Communauté d'Agglomération du Grand Avignon et l'Opéra de Nice.",DIRECTION DE L'ACTION CULTURELLE,DIRECTION GENERALE ADJOINTE MER CULTURE ET SPORTS
