Nom du site;Categorie;Adresse 1;Adresse 2;Code Postal;Ville;Numero de telephone;Email;Longitude;Latitude
Ecole Luminy;Ecoles maternelles;33 av de Luminy;;13009;Marseille;04 91 41 30 98;ecole.mat.luminy@cime.org;5.43794374136482;43.2447938438454
Ecole Calanques De Sormiou;Ecoles maternelles;139 Bd de Sormiou;;13009;Marseille;04 91 25 21 85;ecole.mat.calanques.sormiou@cime.org;5.40201779733479;43.2294480927856
Ecole Sainte Marguerite;Ecoles maternelles;10 bld Pages;;13009;Marseille;04 91 75 11 78;ecole.mat.saintemarguerite@cime.org;5.40591072684807;43.26761107318
Ecole Bonneveine-Zenatti;Ecoles maternelles;109 avenue Andre Zenatti;;13008;Marseille;04 91 72 16 74;ecole.mat.zanetti@cime.org;5.39145761212105;43.2461278187461
Ecole Montredon;Ecoles maternelles;8 place Engaliere;;13008;Marseille;04 91 73 07 97;ecole.mat.montredon@cime.org;5.36595993690167;43.2379138506684
Ecole Lapin Blanc Des Neiges;Ecoles maternelles;21 bld des neiges;;13008;Marseille;04 91 73 32 79;ecole.mat.lapinblancdesneiges@cime.org;5.38065882810628;43.248326136641
Ecole Mazargues Beauchene;Ecoles maternelles;5 av Marie Balajat;;13009;Marseille;04 91 40 12 89;ecole.mazarguesbeauchene@cime.org;5.40542763135304;43.2500321236177
Ecole Mazargues;Ecoles maternelles;9 rue Francois Blanc;;13009;Marseille;04 91 40 35 70;ecole.mat.mazargues@cime.org;5.40083594974729;43.2497496742632
Ecole Parc Berger;Ecoles maternelles;Av de la Campagne Berger;;13009;Marseille;04 91 41 71 92;ecole.mat.parcberger@cime.org;5.42241996827006;43.2602209788711
Ecole Bonneveine;Ecoles maternelles;52 boulevard du Sablier;;13008;Marseille;04 91 73 04 48;ecole.mat.bonneveine@cime.org;5.38106606042904;43.2509243643241
Ecole Allee Des Pins Le Cabot;Ecoles maternelles;84 Bd du Redon;;13009;Marseille;04 91 41 34 42;ecole.mat.cabotlespins@cime.org;5.415178219935;43.2534287534168
Ecole Pointe Rouge;Ecoles maternelles;6 boulevard de Nice;;13008;Marseille;04 91 73 47 19;ecole.mat.pointerouge@cime.org;5.37211404534333;43.2423861097504
Ecole Valmont Redon;Ecoles maternelles;431 av de Lattre de Tassigny;;13009;Marseille;04 91 40 10 47;ecole.valmontredon@cime.org;5.42645043323313;43.2442415151578
Ecole La Madrague De Montredon;Ecoles maternelles;40 boulevard de la Verrerie;;13008;Marseille;04 91 73 34 03;ecole.mat.madraguemontredon@cime.org;5.3609124146051;43.2323049320339
Ecole Chateau Sec;Ecoles maternelles;39 chemin Joseph Aiguier;;13009;Marseille;04 91 75 40 34;ecole.mat.chateausec@cime.org;5.40838309872301;43.2539382234932
Ecole Michelet Foch;Ecoles maternelles;21 avenue Marechal Foch;;13004;Marseille;04 91 09 96 28;;5.39918803436027;43.3012449612876
Ecole Eydoux;Ecoles maternelles;18 Rue Eydoux;;13006;Marseille;04 91 47 19 56;ecole.mat.eydoux@cime.org;5.38684980578322;43.2908386522627
Ecole Alexandre Copello;Ecoles maternelles;10 Rue des Clairistes;;13005;Marseille;04 91 47 31 06;ecole.mat.copello@cime.org;5.39117854187553;43.2939388263036
Ecole Saint Charles;Ecoles maternelles;47 rue Lucien Rolmer;;13003;Marseille;04 91 62 48 87;ecole.mat.saintcharles@cime.org;5.37637496260252;43.3067571698457
Ecole Saint Vincent De Paul;Ecoles maternelles;10 rue Saint Vincent de Paul;;13004;Marseille;04 91 42 86 11;ecole.mat.saintvincentdepaul@cime.org;5.39159931558445;43.300389947467
Ecole Parmentier;Ecoles maternelles;7 rue Parmentier;;13001;Marseille;04 91 91 14 23;ecole.mat.parmentier@cime.org;5.3794185433179;43.2997897445846
Ecole Hotel Des Postes;Ecoles maternelles;2 Place de l'Hetel des Postes;;13001;Marseille;04 91 90 74 32;ecole.mat.hoteldespostes@cime.org;5.37434242070366;43.2989976702288
Ecole Cite Azoulay;Ecoles maternelles;7 rue Raphael;;13008;Marseille;04 91 76 21 75;ecole.mat.citeazoulay@cime.org;5.39299037073379;43.2685844557964
Ecole Capelette Mireille Lauze;Ecoles maternelles;131 boulevard Mireille Lauze;;13010;Marseille;04 91 79 78 84;ecole.mat.mireillelauze@cime.org;5.41196646201084;43.2833738626051
Ecole Capelette;Ecoles maternelles;13 boulevard de la Barniere;;13010;Marseille;04 91 79 67 26;ecole.mat.capelette@cime.org;5.4067102249125;43.2815746725251
Ecole Saint Loup Castel Joli;Ecoles maternelles;23 rue Pierre Doize;;13010;Marseille;04 91 44 73 01;ecole.mat.casteljoli@cime.org;5.42967552773324;43.2809602902321
Ecole Saint Tronc La Rose;Ecoles maternelles;225 boulevard Paul Claudel;;13010;Marseille;04 91 75 52 80;ecole.mat.sainttronclarose@cime.org;5.41993804729005;43.2704285850268
Ecole La Pauline;Ecoles maternelles;337 boulevard Romain Rolland;;13009;Marseille;04 91 75 53 31;ecole.mat.pauline@cime.org;5.41024241039203;43.2715704414373
Ecole La Sauvagere;Ecoles maternelles;253 Bvd Romain Rolland;;13010;Marseille;04 91 75 23 36;ecole.sauvagere@cime.org;5.41511033549444;43.2718334756477
Ecole Le Rouet;Ecoles maternelles;38 rue Roger Renzo;;13008;Marseille;04 91 79 27 46;ecole.mat.rouet@cime.org;5.39392526454933;43.2781283428108
Ecole Menpenti;Ecoles maternelles;159 avenue de Toulon;;13010;Marseille;04 91 80 44 66;ecole.mat.mempenti@cime.org;5.39597940375898;43.2844077468055
Ecole La Timone;Ecoles maternelles;96 avenue de la Timone;;13010;Marseille;04 91 78 02 52;ecole.mat.timone@cime.org;5.40485160937299;43.2859235608672
Ecole Pont De Vivaux Saccoman;Ecoles maternelles;206 boulevard Romain Rolland;;13010;Marseille;04 91 78 29 58;ecole.mat.saccoman@cime.org;5.41567656073656;43.2753571235156
Ecole Parc Dromel;Ecoles maternelles;1 boulevard Dromel;;13009;Marseille;04 91 75 28 28;ecole.mat.parcdromel@cime.org;5.4063225934882;43.2703992671131
Ecole Parette Mazenode;Ecoles maternelles;427 boulevard Mireille Lauze;;13011;Marseille;04 91 44 98 91;ecole.parettemazenode@cime.org;5.43029983487339;43.2873320120759
Ecole Raymond Teisseire;Ecoles maternelles;64 boulevard Rabatau;;13008;Marseille;04 91 79 35 10;ecole.mat.teisseire@cime.org;5.39695271603606;43.2751538676753
Ecole Longchamp;Ecoles maternelles;rue Buffon - 2 impasse Montbard;;13004;Marseille;04 91 64 12 27;ecole.mat.longchamp@cime.org;5.39533581183772;43.3038111218338
Ecole Consolat Abeilles;Ecoles maternelles;160 rue Consolat;;13001;Marseille;04 91 08 54 03;ecole.mat.abeilles@cime.org;5.39328681538547;43.302830321044
Ecole Botinelly;Ecoles maternelles;21 bld Louis Botinelly;;13004;Marseille;04 91 49 60 79;ecole.mat.botinelly@cime.org;5.40460900474371;43.3020357314008
Ecole Abbe De L'Epee;Ecoles maternelles;7 bis square Sidi Brahim;;13005;Marseille;04 91 34 12 16;ecole.mat.abbe.epee@cime.org;5.39836075863859;43.2976735716475
Ecole Air Bel;Ecoles maternelles;Chemin de la Maternelle;Cite Air Bel;13011;Marseille;04 91 35 27 23;ecole.mat.airbel@cime.org;5.42923890239373;43.2913899370364
Ecole Oddo;Ecoles maternelles;18 rue de la Butineuse;;13015;Marseille;04 91 58 00 24;ecole.mat.oddo@cime.org;5.36054622644552;43.3291139450092
Ecole Saint Louis Gare;Ecoles maternelles;16 rue Le Chatelier;;13015;Marseille;04 91 60 85 92;ecole.mat.saintlouisgare@cime.org;5.36006537280361;43.3477057943593
Ecole Notre Dame Limite Jean Perrin;Ecoles maternelles;chemin des Bourrely;;13015;Marseille;04 91 51 22 78;ecole.mat.hlmperrin@cime.org;5.36143445936328;43.3840812630516
Ecole Estaque Plage;Ecoles maternelles;23 Bd Bandini;;13016;Marseille;04 91 46 01 27;ecole.mat.estaqueplage@cime.org;5.31647855992161;43.3615567915148
Ecole Notre Dame Limite Chateau Burzio;Ecoles maternelles;Les Fabrettes;;13015;Marseille;04 91 51 30 75;ecole.mat.chateauburzio@cime.org;5.35968725264565;43.3833363378261
Ecole Bois Lemaitre;Ecoles maternelles;avenue Jean Compadieu;;13012;Marseille;04 91 93 06 29;ecole.mat.boislemaitre@cime.org;5.43331231265646;43.3216827217964
Ecole Croix Rouge Campagne;Ecoles maternelles;16 avenue Fournacle;;13013;Marseille;04 91 68 69 93;ecole.mat.croixrouge@cime.org;5.456483264565;43.3321343685326
Ecole La Rose Val Plan;Ecoles maternelles;77 avenue de la Croix Rouge;;13013;Marseille;04 91 66 04 15;ecole.mat.rosevalplan@cime.org;5.43347315266598;43.3328071589727
Ecole Saint Jerome Village;Ecoles maternelles;20 rue des Polytres;;13013;Marseille;04 91 66 22 61;ecole.mat.saintjeromevillage@cime.org;5.41683983339255;43.3301260800841
Ecole Petit Bosquet;Ecoles maternelles;286 avenue de Montolivet;;13012;Marseille;04 91 66 12 32;ecole.mat.petitbosquet@cime.org;5.41578391542296;43.3156585255095
Ecole Chateau Gombert;Ecoles maternelles;40 boulevard Fernand Durbec;;13013;Marseille;04 91 68 01 20;ecole.mat.chateaugombert@cime.org;5.43880658592901;43.3500699005145
Ecole Les Balustres;Ecoles maternelles;2 chemin de Notre-Dame de Consolation;;13013;Marseille;04 91 66 48 29;ecole.mat.balustres@cime.org;5.4210544094659;43.3393554513408
Ecole Les Lierres;Ecoles maternelles;50 avenue du 24 avril 1915;;13012;Marseille;04 91 93 16 70;ecole.mat.leslierres@cime.org;5.43016086796292;43.3075569483835
Ecole La Rose Frais Vallon Nord;Ecoles maternelles;39 avenue de Frais Vallon;;13013;Marseille;04 91 66 14 32;ecole.mat.fraisvallonnord@cime.org;5.42645855444811;43.3251206975787
Ecole Saint Julien;Ecoles maternelles;11 boulevard Bonniot;;13012;Marseille;04 91 93 17 95;ecole.mat.saintjulien@cime.org;5.44903832803701;43.3153718992706
Ecole Saint Henri Raphel;Ecoles maternelles;place Raphel;;13016;Marseille;04 91 46 08 24;ecole.mat.sainthenriraphael@cime.org;5.33066138551547;43.3617629597279
Ecole Calade;Ecoles maternelles;15 rue Severine;;13015;Marseille;04 91 60 11 02;ecole.mat.lacalade@cime.org;5.35024996990679;43.3410164244143
Ecole Cabucelle;Ecoles maternelles;25 bvd Arthur-Michaud;;13015;Marseille;04 91 58 00 87;ecole.mat.cabucelle@cime.org;5.35897434900402;43.3330395754659
Ecole Estaque Riaux;Ecoles maternelles;Bd de la Falaise;;13016;Marseille;04 91 46 00 67;ecole.mat.estaqueriaux@cime.org;5.30832930560227;43.3629476234732
Ecole Saint Andre Boisseau;Ecoles maternelles;2 rue Boisseau;;13016;Marseille;04 91 46 02 57;ecole.mat.saintandreboisseau@cime.org;5.34408789334415;43.3559146618605
Ecole Sainte Catherine;Ecoles maternelles;98 traverse Prat;;13008;Marseille;04 91 73 35 60;ecole.mat.stecatherine@cime.org;5.37328058754258;43.2375132447425
Ecole Saint Louis Le Rove;Ecoles maternelles;50 chemin de saint-louis au Rove;;13015;Marseille;04 91 60 82 27;ecole.mat.saintlouislerove@cime.org;5.35557035323494;43.3494522827956
Ecole Estaque Gare;Ecoles maternelles;33 Bd Fenouil;;13016;Marseille;04 91 46 02 49;ecole.mat.estaquegare@cime.org;5.32055790055535;43.3611613692691
Ecole Saint Antoine Palanque;Ecoles maternelles;46 chemin de la Martine;;13015;Marseille;04 91 65 68 28;ecole.mat.saintantoinepalanque@cime.org;5.36351317019077;43.3735539000118
Ecole Saint Louis Leveque;Ecoles maternelles;Campagne Leveque;;13015;Marseille;04 91 60 71 63;ecole.mat.saintlouisleveque@cime.org;5.35840293601227;43.3424663182933
Ecole Bernabo;Ecoles maternelles;1 traverse Bernabo;;13015;Marseille;04 91 60 03 06;ecole.mat.bernabo@cime.org;5.35695667544637;43.3371101577068
Ecole La Viste Bousquet;Ecoles maternelles;68 avenue de la Viste;;13015;Marseille;04 91 60 91 10;ecole.mat.vistebousquet@cime.org;5.35915016169707;43.357185628623
Ecole Saint Louis Consolat;Ecoles maternelles;47 Rue des Musardises;;13015;Marseille;04 91 60 15 21;ecole.mat.saintlouisconsolat@cime.org;5.35344285973929;43.3478007105879
Ecole La Bricarde;Ecoles maternelles;125 boulevard Henri Barnier;;13015;Marseille;04 91 96 12 82;ecole.mat.bricarde@cime.org;5.34753457327965;43.3699606603721
Ecole Saint Henri;Ecoles maternelles;42 chemin de Saint Henri;;13016;Marseille;04 91 46 50 66;ecole.mat.sainthenri@cime.org;5.33275207539177;43.3579931637816
Ecole Plan D'Aou;Ecoles maternelles;1 Bd du Commandant Thollon;;13015;Marseille;04 91 51 25 99;ecole.mat.plandaou@cime.org;5.35410421730319;43.3692762431315
Ecole Cite Saint Louis;Ecoles maternelles;111 chemin de Saint Louis au Rove;;13016;Marseille;04 91 60 95 94;ecole.mat.citesaintlouis@cime.org;5.3532438734015;43.351759498155
Ecole Saint Andre Barnier;Ecoles maternelles;274 boulevard Henri Barnier;;13015;Marseille;04 91 46 06 29;ecole.mat.saintandrebarnier@cime.org;5.34229072760874;43.36523567326
Ecole Saint Antoine Centre;Ecoles maternelles;19 avenue de Roquefavour;;13015;Marseille;04 91 51 28 02;ecole.mat.saintantoinecentre@cime.org;5.35865401331649;43.3695471883253
Ecole Verduron Haut;Ecoles maternelles;2 boulevard de la Pinede;;13015;Marseille;04 91 51 11 25;ecole.mat.verduronhaut@cime.org;5.3442612560347;43.3748128783321
Ecole Etienne Milan;Ecoles maternelles;34 rue Etienne Milan;;13008;Marseille;04 91 76 21 29;ecole.mat.etiennemilan@cime.org;5.38696031473021;43.264829901101
Ecole La Baume;Ecoles maternelles;11 avenue Colgate;;13009;Marseille;04 91 40 07 44;ecole.mat.baume@cime.org;5.40984639152853;43.2344317264579
Ecole La Soude;Ecoles maternelles;40 avenue de la Soude;;13009;Marseille;04 91 40 29 87;ecole.mat.lasoude@cime.org;5.40017431210808;43.2446423847447
Ecole Le Corbusier;Ecoles maternelles;280 boulevard Michelet;;13008;Marseille;04 91 76 43 61;ecole.mat.corbusier@cime.org;5.39627412629477;43.2609356791646
Ecole Edouard Vaillant;Ecoles maternelles;19 passage Leo Ferre;;13003;Marseille;04 91 02 57 33;ecole.mat.vaillant@cime.org;5.3780851960706;43.3157352134817
Ecole La Rouviere;Ecoles maternelles;83 boulevard du Redon;;13009;Marseille;04 91 41 34 21;ecole.mat.rouviere@cime.org;5.42375421862354;43.2506311610356
Ecole Saint Andre La Castellane;Ecoles maternelles;66 chemin de Bernex;;13015;Marseille;04 91 46 08 85;ecole.mat.lacastellane@cime.org;5.34024652561786;43.3687976132418
Ecole Fonscolombe;Ecoles maternelles;7 Rue Andre Chamson;;13003;Marseille;04 91 50 38 60;ecole.mat.fonscolombes@cime.org;5.37305297841761;43.3117193115299
Ecole Canet Ambrosini;Ecoles maternelles;boulevard de la Maison Blanche;;13014;Marseille;04 91 67 35 52;ecole.mat.canetambrosini@cime.org;5.37551677988207;43.3299028507465
Ecole Arenc Bachas Exterieur;Ecoles maternelles;15 Bd Ferdinand de Lesseps;;13015;Marseille;04 91 50 42 15;ecole.mat.exterieur@cime.org;5.37060699401056;43.3201407158771
Ecole Kleber;Ecoles maternelles;27 rue Kleber;;13003;Marseille;04 91 62 62 37;ecole.mat.kleber@cime.org;5.37477989438814;43.3079056457342
Ecole Granados Roy D'Espagne;Ecoles maternelles;allee Granados;;13009;Marseille;04 91 73 36 37;ecole.mat.granados@cime.org;5.39160160182364;43.2372567197132
Ecole Sainte Anne;Ecoles maternelles;492 avenue de Mazargues;;13008;Marseille;04 91 76 19 36;ecole.mat.sainteanne@cime.org;5.39361685153887;43.2548951689165
Ecole Mazargues Vaccaro;Ecoles maternelles;Residence Michelet de Lattre;50 Bd General Koenig;13009;Marseille;04 91 40 13 27;ecole.mat.vaccaro@cime.org;5.41109696803178;43.2419587706771
Ecole Grand Saint Giniez;Ecoles maternelles;257 avenue de Mazargues;;13008;Marseille;04 91 76 20 50;ecole.mat.grandsaintginiez@cime.org;5.39344022717173;43.2635410907904
Ecole Lapin Blanc;Ecoles maternelles;70 avenue Andre Zenatti;;13008;Marseille;04 91 72 36 07;ecole.mat.lapinblanc@cime.org;5.38627064522772;43.2460508992185
Ecole Mazargues Grande Bastide;Ecoles maternelles;11 avenue Desautel;;13009;Marseille;04 91 40 12 95;ecole.mat.grandebastide@cime.org;5.40578170270385;43.2541203054545
Ecole Parc Sevigne;Ecoles maternelles;2 rue aviateur Lebrix;;13009;Marseille;04 91 71 01 52;ecole.mat.parcsevigne@cime.org;5.40425314521285;43.2629084211343
Ecole Roy D'Espagne;Ecoles maternelles;1 allee Emmanuel Chabrier;;13008;Marseille;04 91 73 19 75;ecole.mat.chabrier@cime.org;5.38624113720467;43.2397580096494
Ecole Square Michelet;Ecoles maternelles;boulevard Gaston Ramon;;13009;Marseille;04 91 76 01 31;ecole.mat.squaremichelet@cime.org;5.39851929560436;43.2670469765628
Ecole Valmante;Ecoles maternelles;81 chemin Jean Roubin;;13009;Marseille;04 91 41 18 25;ecole.mat.valmante@cime.org;5.42074791383754;43.2478750173771
Ecole Busserade-Massena;Ecoles maternelles;3 rue Massena;;13003;Marseille;04 91 08 99 04;;5.38346469197993;43.3085078144075
Ecole Desiree Clary;Ecoles maternelles;24 rue Desiree Clary;;13002;Marseille;04 91 31 66 49;ecole.mat.desireeclary@cime.org;5.37000573801468;43.308565933172
Ecole Francois Moisson-Republique;Ecoles maternelles;26 rue Francois Moisson;;13002;Marseille;04 91 52 77 73;ecole.mat.republiquemoisson@cime.org;5.36864997798265;43.3012918202034
Ecole Ruffi;Ecoles maternelles;92 rue de Ruffi;;13003;Marseille;04 91 08 09 15;ecole.ruffi@cime.org;5.37018951267822;43.3137592834007
Ecole La Treille;Ecoles maternelles;169 route de la Treille;;13011;Marseille;04 91 43 10 51;ecole.latreille@cime.org;5.51212235014369;43.3132843961056
Ecole Amedee Autran;Ecoles maternelles;10 bld Amedee Autran;;13007;Marseille;04 91 52 07 56;ecole.mat.autran@cime.org;5.36651252668556;43.2823071958225
Ecole Grande Bastide Cazaulx;Ecoles maternelles;Boulevard Bouyala d'Arnaud;;13012;Marseille;04 91 93 00 48;ecole.mat.grandebastidecazaulx@cime.org;5.44183503365099;43.298178514883
Ecole La Rouguiere;Ecoles maternelles;Allee de la Rouguiere;;13011;Marseille;04 91 89 46 31;ecole.mat.rouguiere@cime.org;5.45959709924728;43.2952240801023
Ecole Chateau Saint Cyr;Ecoles maternelles;65 chemin de la Valbarelle;;13010;Marseille;04 91 89 85 78;ecole.mat.chateausaintcyr@cime.org;5.44032897300625;43.2817913509934
Ecole Saint Thys;Ecoles maternelles;1 rue Saint Augustin;;13010;Marseille;04 91 44 70 35;ecole.mat.saintthys@cime.org;5.4393101616558;43.2802156160908
Ecole Les Nereides;Ecoles maternelles;traverse des Raymonds;;13011;Marseille;04 91 35 32 46;ecole.mat.nereides@cime.org;5.46085382224294;43.2844235540797
Ecole Cite Michelis;Ecoles maternelles;33 avenue du Pontet;;13011;Marseille;04 91 44 74 85;ecole.mat.citemichelis@cime.org;5.44858216389499;43.2837884683833
Ecole La Grognarde;Ecoles maternelles;boulevard Soult;;13011;Marseille;04 91 44 72 97;ecole.mat.grognarde@cime.org;5.43602017203481;43.2927277814618
Ecole La Milliere;Ecoles maternelles;11 allee des Genevriers;Les Escourtines;13011;Marseille;04 91 36 24 50;ecole.mat.milliere@cime.org;5.5037631996031;43.2806395877132
Ecole Les Trois Ponts;Ecoles maternelles;32 chemin de Chante Perdrix;;13010;Marseille;04 91 44 69 57;ecole.mat.3ponts@cime.org;5.43587853278839;43.272835246514
Ecole Pomme Sainte Madeleine;Ecoles maternelles;8 avenue Bernard Lecache;;13011;Marseille;04 91 44 79 71;ecole.mat.pomme stemadeleine@cime.org;5.44776948020897;43.2946758916379
Ecole Saint Loup Centre;Ecoles maternelles;103 boulevard de Saint Loup;;13010;Marseille;04 91 44 73 10;ecole.mat.saintloupcentre@cime.org;5.43361751699438;43.2838101625582
Ecole Saint Tronc Castelroc;Ecoles maternelles;30 rue Professeur Roger Luccioni;;13010;Marseille;04 91 75 65 77;ecole.mat.castelroc@cime.org;5.4302572913884;43.2710282883282
Ecole La Buzine;Ecoles maternelles;Traverse de la Buzine;Parc des 7 Collines;13011;Marseille;04 91 43 10 38;ecole.mat.buzine@cime.org;5.5031805563327;43.2942108732275
Ecole Maurelle;Ecoles maternelles;24 rue Marius Briata;;13012;Marseille;04 91 93 38 55;ecole.maurelle@cime.org;5.43985039875573;43.3203719454433
Ecole La Parade;Ecoles maternelles;chemin de Palama;;13013;Marseille;04 91 68 54 02;ecole.mat.parade@cime.org;5.43991723402344;43.3573042560399
Ecole Montolivet;Ecoles maternelles;29 bld Die;;13012;Marseille;04 91 93 39 39;ecole.mat.montolivet@cime.org;5.42768212534545;43.3178605839968
Ecole La Rose Saint Theodore;Ecoles maternelles;41 Allee des Bergeronnettes;;13013;Marseille;04 91 66 35 61;ecole.mat.sainttheodore@cime.org;5.43564899389029;43.3310726884199
Ecole La Rose Sauvagine;Ecoles maternelles;avenue Merleau Ponty;;13013;Marseille;04 91 66 43 49;ecole.mat.rosesauvagine@cime.org;5.42682967458876;43.3353723731212
