,#,Actions,Code RNE,Appellation,Secteur,Code Postal,Maternelle,Elementaire,Telephone,Web,Mail,Nombre d'élèves,Mode Constructif,Nb élèves par classe,Categorie ERP,Avis de la commission,Effectif Public (CSI),Effectif Personnel (CSI)
,012,"<span data-column-name=""view"" class=""operation-item"">",0130553F,Ecole élémentaire Clair Soleil,Public,13014,,,0491672709,,ce.0130553F@ac-aix-marseille.fr,208,Eger ou rationalise 1950/1960,17,2,FAVORABLE,664,97
,013,"<span data-column-name=""view"" class=""operation-item"">",0130554G,Ecole élémentaire Coin Joli,Public,13009,,,0491755200,,ce.0130554G@ac-aix-marseille.fr,235,Eger ou rationalise 1950/1960,25,4,FAVORABLE,196,20
,014,"<span data-column-name=""view"" class=""operation-item"">",0130558L,Ecole élémentaire Jean Fiolle,Public,13006,,,0491377802,,ce.0130558L@ac-aix-marseille.fr,376,Conventionnelle et autres,18,3,FAVORABLE,367,35
,015,"<span data-column-name=""view"" class=""operation-item"">",0130561P,Ecole élémentaire Estaque Gare,Public,13016,,,0491036655,,ce.0130561P@ac-aix-marseille.fr,164,Ferry jusqu’en 1936,22,4,FAVORABLE,244,18
,016,"<span data-column-name=""view"" class=""operation-item"">",0130574D,Ecole élémentaire Hozier,Public,13002,,,0491905350,,ce.0130574D@ac-aix-marseille.fr,213,Ferry jusqu’en 1936,15,3,FAVORABLE,200,20
,017,"<span data-column-name=""view"" class=""operation-item"">",0130576F,Ecole élémentaire Jean Mermoz,Public,13008,,,0491761517,,ce.0130576F@ac-aix-marseille.fr,296,Ferry jusqu’en 1936,25,3,DEFAVORABLE,303,25
,018,"<span data-column-name=""view"" class=""operation-item"">",0130589V,Ecole élémentaire Menpenti,Public,13010,,,0491797951,,ce.0130589V@ac-aix-marseille.fr,289,Maison d’Ecole,26,3,FAVORABLE,516,44
,019,"<span data-column-name=""view"" class=""operation-item"">",0130603K,Ecole élémentaire La Pauline,Public,13009,,,0491755255,,ce.0130603K@ac-aix-marseille.fr,200,Eger ou rationalise 1950/1960,25,4,FAVORABLE,331,18
,020,"<span data-column-name=""view"" class=""operation-item"">",0130606N,Ecole elementaire Pointe Rouge,Public,13008,,,0491733566,,ce.0130606N@ac-aix-marseille.fr,340,Eger ou rationalise 1950/1960,25,4,FAVORABLE,375,28
,021,"<span data-column-name=""view"" class=""operation-item"">",0130617A,Ecole élémentaire Rose Sauvagine,Public,13013,,,0491663832,,ce.0130617A@ac-aix-marseille.fr,154,Eger ou rationalise 1950/1960,23,4,FAVORABLE,226,20
,022,"<span data-column-name=""view"" class=""operation-item"">",0130618B,Ecole élémentaire La Rose Saint Théodore,Public,13013,,,0491660087,,ce.0130618B@ac-aix-marseille.fr,111,Eger ou rationalise 1950/1960,19,5,FAVORABLE,110,10
,023,"<span data-column-name=""view"" class=""operation-item"">",0130633T,Ecole élémentaire La Fourragère,Public,13012,,,0491930057,,ce.0130633T@ac-aix-marseille.fr,272,Conventionnelle et autres,22,3,FAVORABLE,418,39
,024,"<span data-column-name=""view"" class=""operation-item"">",0130640A,Ecole élémentaire Saint-Just Corot,Public,13013,,,0491663973,,ce.0130640A@ac-aix-marseille.fr,280,Eger ou rationalise 1950/1960,19,3,DEFAVORABLE,294,32
,025,"<span data-column-name=""view"" class=""operation-item"">",0130651M,Ecole élémentaire Sainte-Anne,Public,13008,,,0491761737,,ce.0130651M@ac-aix-marseille.fr,356,Eger ou rationalise 1950/1960,25,3,FAVORABLE,366,35
,026,"<span data-column-name=""view"" class=""operation-item"">",0130653P,Ecole élémentaire Sainte-Marguerite,Public,13009,,,0491755184,,ce.0130653P@ac-aix-marseille.fr,155,Conventionnelle et autres,26,NULL,NULL,NULL,NULL
,027,"<span data-column-name=""view"" class=""operation-item"">",0130670H,Ecole élémentaire Viste Bousquet,Public,13015,,,0491600921,,ce.0130670H@ac-aix-marseille.fr,342,Eger ou rationalise 1950/1960,17,3,FAVORABLE,573,38
,028,"<span data-column-name=""view"" class=""operation-item"">",0130672K,Ecole élémentaire des Abeilles,Public,13001,,,0491059025,,ce.0130672K@ac-aix-marseille.fr,255,Maison d’Ecole,22,4,FAVORABLE,240,19
,029,"<span data-column-name=""view"" class=""operation-item"">",0130687B,Ecole élémentaire Bois Luzy,Public,13012,,,0491932127,,ce.0130687B@ac-aix-marseille.fr,261,Eger ou rationalise 1950/1960,23,4,FAVORABLE,252,24
,030,"<span data-column-name=""view"" class=""operation-item"">",0130806F,Ecole élémentaire Saint Savournin barthelemy,Public,13001,,,0491531060,,ce.0130806F@ac-aix-marseille.fr,194,Maison d’Ecole,26,4,DEFAVORABLE,216,18
,031,"<span data-column-name=""view"" class=""operation-item"">",0130821X,Ecole élémentaire La Valbarelle,Public,13011,,,0491448323,,ce.0130821X@ac-aix-marseille.fr,128,Eger ou rationalise 1950/1960,20,NULL,NULL,NULL,NULL
,032,"<span data-column-name=""view"" class=""operation-item"">",0130827D,Ecole élémentaire Vincent Leblanc,Public,13002,,,0491912607,,ce.0130827D@ac-aix-marseille.fr,138,Ferry jusqu’en 1936,18,4,DEFAVORABLE,238,21
,033,"<span data-column-name=""view"" class=""operation-item"">",0131208T,Ecole élémentaire Bouge,Public,13013,,,0491663829,,ce.0131208T@ac-aix-marseille.fr,174,GEEP,18,3,FAVORABLE,400,NULL
,034,"<span data-column-name=""view"" class=""operation-item"">",0131209U,Ecole élémentaire Roy d'Espagne,Public,13008,,,0491732213,,ce.0131209U@ac-aix-marseille.fr,238,GEEP,23,3,DEFAVORABLE,237,28
,035,"<span data-column-name=""view"" class=""operation-item"">",0131529S,Ecole élémentaire Chartreux Eugène Cas 1,Public,13004,,,0491080706,,ce.0131529S@ac-aix-marseille.fr,176,GEEP,25,3,DEFAVORABLE,566,61
,036,"<span data-column-name=""view"" class=""operation-item"">",0131638K,Ecole élémentaire Notre-Dame Limite HLM Perrin,Public,13015,,,0491511184,,ce.0131638K@ac-aix-marseille.fr,190,GEEP,17,3,FAVORABLE,294,45
,037,"<span data-column-name=""view"" class=""operation-item"">",0131640M,Ecole élémentaire Révolution,Public,13003,,,0491501792,,ce.0131640M@ac-aix-marseille.fr,253,Eger ou rationalise 1950/1960,17,3,FAVORABLE,374,30
,038,"<span data-column-name=""view"" class=""operation-item"">",0132286P,Ecole élémentaire Roy d'Espagne Granados,Public,13009,,,0491733651,,ce.0132286P@ac-aix-marseille.fr,124,GEEP,25,4,FAVORABLE,220,6
,039,"<span data-column-name=""view"" class=""operation-item"">",0132530E,Ecole élémentaire Croix Rouge 2,Public,13013,,,0491686991,,ce.0132530E@ac-aix-marseille.fr,151,Autre industrialise & hors modèle,20,5,FAVORABLE,127,11
,040,"<span data-column-name=""view"" class=""operation-item"">",0130528D,Ecole élémentaire La Blancarde,Public,13012,,,0491490848,,ce.0130528D@ac-aix-marseille.fr,313,Eger ou rationalise 1950/1960,27,3,FAVORABLE,381,30
,041,"<span data-column-name=""view"" class=""operation-item"">",0130549B,Ecole élémentaire Château Gombert,Public,13013,,,0491680074,,ce.0130549B@ac-aix-marseille.fr,254,Front populaire 1936/1938,26,4,FAVORABLE,205,16
,042,"<span data-column-name=""view"" class=""operation-item"">",0130563S,Ecole élémentaire Etienne Milan,Public,13008,,,0491763637,,ce.0130563S@ac-aix-marseille.fr,220,GEEP,24,4,FAVORABLE,224,16
,043,"<span data-column-name=""view"" class=""operation-item"">",0130578H,Ecole élémentaire Leverrier,Public,13004,,,0491507926,,ce.0130578H@ac-aix-marseille.fr,291,Ferry jusqu’en 1936,27,3,DEFAVORABLE,296,13
,044,"<span data-column-name=""view"" class=""operation-item"">",0130608R,Ecole élémentaire Grande Bastide Cazaulx,Public,13012,,,0491932542,,ce.0130608R@ac-aix-marseille.fr,258,GEEP,25,3,DEFAVORABLE,424,47
,045,"<span data-column-name=""view"" class=""operation-item"">",0130611U,Ecole élémentaire Valmante,Public,13009,,,0491411468,,ce.0130611U@ac-aix-marseille.fr,117,Conventionnelle et autres,23,4,DEFAVORABLE,135,15
,046,"<span data-column-name=""view"" class=""operation-item"">",0130613W,Ecole élémentaire Rose Castors,Public,13013,,,0491663908,,ce.0130613W@ac-aix-marseille.fr,198,Eger ou rationalise 1950/1960,24,4,FAVORABLE,184,17
,047,"<span data-column-name=""view"" class=""operation-item"">",0130619C,Ecole élémentaire La Roseraie,Public,13007,,,0491521216,,ce.0130619C@ac-aix-marseille.fr,184,Ferry jusqu’en 1936,24,4,FAVORABLE,198,19
,048,"<span data-column-name=""view"" class=""operation-item"">",0130622F,Ecole élémentaire La Rouguière,Public,13011,,,0491894683,,ce.0130622F@ac-aix-marseille.fr,185,Eger ou rationalise 1950/1960,24,4,DEFAVORABLE,182,20
,049,"<span data-column-name=""view"" class=""operation-item"">",0130631R,Ecole élémentaire Saint Gabriel,Public,13014,,,0491672608,,ce.0130631R@ac-aix-marseille.fr,461,Ferry jusqu’en 1936,27,3,FAVORABLE,386,31
,050,"<span data-column-name=""view"" class=""operation-item"">",0130632S,Ecole élémentaire Saint Henri Rabelais,Public,13016,,,0491460103,,ce.0130632S@ac-aix-marseille.fr,235,Eger ou rationalise 1950/1960,20,4,FAVORABLE,236,25
,051,"<span data-column-name=""view"" class=""operation-item"">",0130634U,Ecole élémentaire Saint Jérôme Village 1,Public,13013,,,0491664212,,ce.0130634U@ac-aix-marseille.fr,115,Eger ou rationalise 1950/1960,25,4,FAVORABLE,426,21
,052,"<span data-column-name=""view"" class=""operation-item"">",0130642C,Ecole élémentaire Saint Louis Gare,Public,13015,,,0491608280,,ce.0130642C@ac-aix-marseille.fr,185,Maison d’Ecole,17,3,FAVORABLE,303,27
,053,"<span data-column-name=""view"" class=""operation-item"">",0130644E,Ecole élémentaire Saint-Loup-Gabriel Fauré,Public,13010,,,0491351227,,ce.0130644E@ac-aix-marseille.fr,97,Maison d’Ecole,23,NULL,NULL,NULL,NULL
,054,"<span data-column-name=""view"" class=""operation-item"">",0130648J,Ecole élémentaire Saint Pierre,Public,13005,,,0491476503,,ce.0130648J@ac-aix-marseille.fr,214,Ferry jusqu’en 1936,24,4,DEFAVORABLE,200,20
,055,"<span data-column-name=""view"" class=""operation-item"">",0130652N,Ecole élémentaire Sainte-Cécile,Public,13005,,,0491782067,,ce.0130652N@ac-aix-marseille.fr,172,Ferry jusqu’en 1936,26,4,FAVORABLE,197,20
,056,"<span data-column-name=""view"" class=""operation-item"">",0130656T,Ecole élémentaire Square Michelet,Public,13009,,,0491715860,,ce.0130656T@ac-aix-marseille.fr,165,Eger ou rationalise 1950/1960,25,4,DEFAVORABLE,233,22
,057,"<span data-column-name=""view"" class=""operation-item"">",0130705W,Ecole élémentaire Louis Botinelly,Public,13004,,,0491494916,,ce.0130705W@ac-aix-marseille.fr,135,Maison d’Ecole,24,NULL,NULL,NULL,NULL
,058,"<span data-column-name=""view"" class=""operation-item"">",0130729X,Ecole élémentaire La Guadeloupe,Public,13006,,,0491372213,,ce.0130729X@ac-aix-marseille.fr,198,Ferry jusqu’en 1936,26,4,FAVORABLE,203,18
,059,"<span data-column-name=""view"" class=""operation-item"">",0130736E,Ecole élémentaire Lapin Blanc,Public,13008,,,0491733286,,ce.0130736E@ac-aix-marseille.fr,125,Eger ou rationalise 1950/1960,25,5,FAVORABLE,140,9
,060,"<span data-column-name=""view"" class=""operation-item"">",0130739H,Ecole élémentaire Madrague Montredon,Public,13008,,,0491733923,,ce.0130739H@ac-aix-marseille.fr,119,Eger ou rationalise 1950/1960,23,4,FAVORABLE,111,15
,061,"<span data-column-name=""view"" class=""operation-item"">",0130751W,Ecole élémentaire Merlan Village,Public,13014,,,0491982505,,ce.0130751W@ac-aix-marseille.fr,142,Eger ou rationalise 1950/1960,26,4,FAVORABLE,250,25
,062,"<span data-column-name=""view"" class=""operation-item"">",0130766M,Ecole élémentaire Pomme Heckel,Public,13011,,,0491351527,,ce.0130766M@ac-aix-marseille.fr,86,Maison d’Ecole,15,4,FAVORABLE,155,16
,063,"<span data-column-name=""view"" class=""operation-item"">",0130773V,Ecole élémentaire Rose Frais Vallon Nord,Public,13013,,,0491662716,,ce.0130773V@ac-aix-marseille.fr,220,Eger ou rationalise 1950/1960,24,3,DEFAVORABLE,298,28
,064,"<span data-column-name=""view"" class=""operation-item"">",0130783F,Ecole élémentaire Saint André Condorcet,Public,13016,,,0491460392,,ce.0130783F@ac-aix-marseille.fr,175,Eger ou rationalise 1950/1960,17,4,FAVORABLE,177,20
,065,"<span data-column-name=""view"" class=""operation-item"">",0130792R,Ecole élémentaire Saint Jérôme Village 2,Public,13013,,,0491663950,,ce.0130792R@ac-aix-marseille.fr,138,Eger ou rationalise 1950/1960,25,4,FAVORABLE,169,15
,066,"<span data-column-name=""view"" class=""operation-item"">",0131821J,Ecole élémentaire Saint André La Castellane,Public,13016,,,0491460431,,ce.0131821J@ac-aix-marseille.fr,228,GEEP,16,3,DEFAVORABLE,364,43
,067,"<span data-column-name=""view"" class=""operation-item"">",0130524Z,Ecole élémen Beaumont Bombardière,Public,13012,,,0491931632,,ce.0130524Z@ac-aix-marseille.fr,205,Eger ou rationalise 1950/1960,25,3,FAVORABLE,374,57
,068,"<span data-column-name=""view"" class=""operation-item"">",0130540S,Ecole élémentaire Candolle,Public,13007,,,0491524479,,ce.0130540S@ac-aix-marseille.fr,120,Ferry jusqu’en 1936,23,NULL,NULL,NULL,NULL
,069,"<span data-column-name=""view"" class=""operation-item"">",0130567W,Ecole élémentaire La Feuilleraie,Public,13004,,,0491496604,,ce.0130567W@ac-aix-marseille.fr,281,Eger ou rationalise 1950/1960,24,NULL,NULL,NULL,NULL
,070,"<span data-column-name=""view"" class=""operation-item"">",0130568X,Ecole élémentaire Fraissinet,Public,13005,,,0491480731,,ce.0130568X@ac-aix-marseille.fr,179,Eger ou rationalise 1950/1960,21,3,FAVORABLE,302,58
,071,"<span data-column-name=""view"" class=""operation-item"">",0130569Y,Ecole élémentaire François Moisson,Public,13002,,,0491910254,,ce.0130569Y@ac-aix-marseille.fr,395,Ferry jusqu’en 1936,17,NULL,NULL,NULL,NULL
,072,"<span data-column-name=""view"" class=""operation-item"">",0130570Z,Ecole élémentaire Olivier Gillibert,Public,13005,,,0491422118,,ce.0130570Z@ac-aix-marseille.fr,347,Ferry jusqu’en 1936,27,4,FAVORABLE,189,18
,073,"<span data-column-name=""view"" class=""operation-item"">",0130583N,Ecole élémentaire Malpassé,Public,13013,,,0491661018,,ce.0130583N@ac-aix-marseille.fr,188,Front populaire 1936/1938,23,4,FAVORABLE,169,14
,074,"<span data-column-name=""view"" class=""operation-item"">",0130584P,Ecole élémentaire Les Martegaux,Public,13013,,,0491664088,,ce.0130584P@ac-aix-marseille.fr,149,Eger ou rationalise 1950/1960,26,4,FAVORABLE,152,11
,075,"<span data-column-name=""view"" class=""operation-item"">",0130590W,Ecole élémentaire Merlan Cerisaie,Public,13014,,,0491982358,,ce.0130590W@ac-aix-marseille.fr,179,Eger ou rationalise 1950/1960,16,4,DEFAVORABLE,181,20
,076,"<span data-column-name=""view"" class=""operation-item"">",0130600G,Ecole élémentaire Parc Dromel,Public,13009,,,0491752208,,ce.0130600G@ac-aix-marseille.fr,197,Eger ou rationalise 1950/1960,25,3,NULL,357,32
,077,"<span data-column-name=""view"" class=""operation-item"">",0130645F,Ecole élémentaire Saint Marcel,Public,13011,,,0491447053,,ce.0130645F@ac-aix-marseille.fr,163,Maison d’Ecole,21,4,FAVORABLE,167,21
,078,"<span data-column-name=""view"" class=""operation-item"">",0130658V,Ecole élémentaire La Timone,Public,13010,,,0491783419,,ce.0130658V@ac-aix-marseille.fr,185,Ferry jusqu’en 1936,26,3,FAVORABLE,305,26
,079,"<span data-column-name=""view"" class=""operation-item"">",0130663A,Ecole élémentaire Valentine,Public,13011,,,0491431011,,ce.0130663A@ac-aix-marseille.fr,315,Eger ou rationalise 1950/1960,25,3,FAVORABLE,297,24
,080,"<span data-column-name=""view"" class=""operation-item"">",0130725T,Ecole élémentaire Friedland,Public,13006,,,0491786862,,ce.0130725T@ac-aix-marseille.fr,207,Maison d’Ecole,26,4,FAVORABLE,239,15
,081,"<span data-column-name=""view"" class=""operation-item"">",0130801A,Ecole élémentaire Saint Loup Castel Joli,Public,13010,,,0491448058,,ce.0130801A@ac-aix-marseille.fr,112,Eger ou rationalise 1950/1960,26,5,FAVORABLE,83,12
,082,"<span data-column-name=""view"" class=""operation-item"">",0130813N,Ecole élémentaire Sainte-Sophie,Public,13004,,,0491347303,,ce.0130813N@ac-aix-marseille.fr,151,Ferry jusqu’en 1936,24,NULL,NULL,NULL,NULL
,083,"<span data-column-name=""view"" class=""operation-item"">",0131224K,Ecole élémentaire Maurelette,Public,13015,,,0491607562,,ce.0131224K@ac-aix-marseille.fr,384,GEEP,17,3,DEFAVORABLE,384,24
,084,"<span data-column-name=""view"" class=""operation-item"">",0131227N,Ecole élémentaire Rose Val Plan,Public,13013,,,0491664389,,ce.0131227N@ac-aix-marseille.fr,296,Eger ou rationalise 1950/1960,18,3,DEFAVORABLE,506,39
,085,"<span data-column-name=""view"" class=""operation-item"">",0131272M,Ecole élémentaire Flotte,Public,13008,,,0491772759,,ce.0131272M@ac-aix-marseille.fr,222,GEEP,22,3,FAVORABLE,325,20
,086,"<span data-column-name=""view"" class=""operation-item"">",0131538B,Ecole élémentaire Peyssonnel 2,Public,13003,,,0491507623,,ce.0131538B@ac-aix-marseille.fr,241,Eger ou rationalise 1950/1960,16,2,DEFAVORABLE,666,75
,087,"<span data-column-name=""view"" class=""operation-item"">",0131546K,Ecole élémentaire Saint Tronc La Rose,Public,13010,,,0491751047,,ce.0131546K@ac-aix-marseille.fr,264,Eger ou rationalise 1950/1960,24,3,FAVORABLE,463,25
,088,"<span data-column-name=""view"" class=""operation-item"">",0131595N,Ecole élémentaire La Grognarde,Public,13011,,,0491445244,,ce.0131595N@ac-aix-marseille.fr,327,Conventionnelle et autres,26,NULL,NULL,NULL,NULL
,089,"<span data-column-name=""view"" class=""operation-item"">",0131637J,Ecole élémentaire Parc Kalliste,Public,13015,,,0491511842,,ce.0131637J@ac-aix-marseille.fr,371,GEEP,17,3,DEFAVORABLE,400,40
,090,"<span data-column-name=""view"" class=""operation-item"">",0132155X,Ecole élémentaire Plan d'Aou,Public,13015,,,0491512737,,ce.0132155X@ac-aix-marseille.fr,220,Eger ou rationalise 1950/1960,19,NULL,NULL,NULL,NULL
,091,"<span data-column-name=""view"" class=""operation-item"">",0132267U,Ecole élémentaire Rose La Garde,Public,13013,,,0491661305,,ce.0132267U@ac-aix-marseille.fr,143,GEEP,18,4,DEFAVORABLE,137,16
,092,"<span data-column-name=""view"" class=""operation-item"">",0132275C,Ecole élémentaire Bricarde,Public,13015,,,0491512929,,ce.0132275C@ac-aix-marseille.fr,255,Autre industrialise & hors modèle,16,4,FAVORABLE,271,20
,093,"<span data-column-name=""view"" class=""operation-item"">",0132429V,Ecole élémentaire Saint Barthélémy Flamants,Public,13014,,,0491981184,,ce.0132429V@ac-aix-marseille.fr,225,Autre industrialise & hors modèle,15,3,DEFAVORABLE,358,36
,094,"<span data-column-name=""view"" class=""operation-item"">",0133188V,Ecole élémentaire Prado Plage,Public,13008,,,0491773797,,ce.0133188V@ac-aix-marseille.fr,149,Conventionnelle et autres,26,4,FAVORABLE,251,25
,095,"<span data-column-name=""view"" class=""operation-item"">",0131238A,Ecole élémentaire Aygalades Oasis,Public,13015,,,0491601731,,ce.0131238A@ac-aix-marseille.fr,314,GEEP,17,3,FAVORABLE,196,20
,096,"<span data-column-name=""view"" class=""operation-item"">",0131285B,Ecole élémentaire Castellas Les Lions,Public,13015,,,0491606989,,ce.0131285B@ac-aix-marseille.fr,311,GEEP,18,4,FAVORABLE,198,11
,097,"<span data-column-name=""view"" class=""operation-item"">",0131636H,Ecole élémentaire Notre-Dame Limite Fabrettes,Public,13015,,,0491510382,,ce.0131636H@ac-aix-marseille.fr,112,Maison d’Ecole,23,NULL,NULL,NULL,NULL
,098,"<span data-column-name=""view"" class=""operation-item"">",0131692U,Ecole élémentaire Mazargues Vaccaro,Public,13009,,,0491401513,,ce.0131692U@ac-aix-marseille.fr,195,GEEP,24,3,DEFAVORABLE,152,23
,099,"<span data-column-name=""view"" class=""operation-item"">",0132184D,Ecole élémentaire Montolivet,Public,13012,,,0491930627,,ce.0132184D@ac-aix-marseille.fr,250,GEEP,26,4,FAVORABLE,239,15
,100,"<span data-column-name=""view"" class=""operation-item"">",0132274B,Ecole élémentaire Malpassé Les Lauriers,Public,13013,,,0491700247,,ce.0132274B@ac-aix-marseille.fr,156,Autre industrialise & hors modèle,17,5,DEFAVORABLE,160,23
,101,"<span data-column-name=""view"" class=""operation-item"">",0133124A,Ecole élémentaire Bonneveine 2,Public,13008,,,0491733145,,ce.0133124A@ac-aix-marseille.fr,162,Eger ou rationalise 1950/1960,27,3,FAVORABLE,367,30
,102,"<span data-column-name=""view"" class=""operation-item"">",0130522X,Ecole élémentaire Les Bastides,Public,13015,,,0491511596,,ce.0130522X@ac-aix-marseille.fr,131,Maison d’Ecole,26,NULL,NULL,NULL,NULL
,103,"<span data-column-name=""view"" class=""operation-item"">",0130532H,Ecole élémentaire Bonneveine 1,Public,13008,,,0491734741,,ce.0130532H@ac-aix-marseille.fr,129,Eger ou rationalise 1950/1960,26,3,FAVORABLE,367,30
,104,"<span data-column-name=""view"" class=""operation-item"">",0130545X,Ecole élémentaire Calanques de Sormiou,Public,13009,,,0491726103,,ce.0130545X@ac-aix-marseille.fr,100,Eger ou rationalise 1950/1960,19,4,DEFAVORABLE,191,23
,105,"<span data-column-name=""view"" class=""operation-item"">",0130579J,Ecole élémentaire Lodi,Public,13006,,,0491782161,,ce.0130579J@ac-aix-marseille.fr,113,Maison d’Ecole,22,5,FAVORABLE,111,13
,106,"<span data-column-name=""view"" class=""operation-item"">",0130585R,Ecole élémentaire Maurelle Bombardière,Public,13012,,,0491930646,,ce.0130585R@ac-aix-marseille.fr,180,Conventionnelle et autres,17,3,FAVORABLE,374,57
,107,"<span data-column-name=""view"" class=""operation-item"">",0130604L,Ecole élémentaire Petit Bosquet,Public,13012,,,0491663964,,ce.0130604L@ac-aix-marseille.fr,267,Ferry jusqu’en 1936,26,5,FAVORABLE,124,8
,108,"<span data-column-name=""view"" class=""operation-item"">",0130605M,Ecole élémentaire Pharo Catalans,Public,13007,,,0491523732,,ce.0130605M@ac-aix-marseille.fr,246,Eger ou rationalise 1950/1960,24,3,FAVORABLE,394,29
,109,"<span data-column-name=""view"" class=""operation-item"">",0130623G,Ecole élémentaire La Rouvière,Public,13009,,,0491413489,,ce.0130623G@ac-aix-marseille.fr,285,Eger ou rationalise 1950/1960,26,4,FAVORABLE,507,40
,110,"<span data-column-name=""view"" class=""operation-item"">",0130626K,Ecole élémentaire Saint Antoine Palanque,Public,13015,,,0491656270,,ce.0130626K@ac-aix-marseille.fr,223,Eger ou rationalise 1950/1960,17,4,FAVORABLE,224,21
,111,"<span data-column-name=""view"" class=""operation-item"">",0130627L,Ecole élémentaire Saint Barnabé,Public,13012,,,0491490654,,ce.0130627L@ac-aix-marseille.fr,304,Ferry jusqu’en 1936,26,3,FAVORABLE,324,23
,112,"<span data-column-name=""view"" class=""operation-item"">",0130641B,Ecole élémentaire Saint Louis Consolat,Public,13015,,,0491600014,,ce.0130641B@ac-aix-marseille.fr,304,Eger ou rationalise 1950/1960,17,3,DEFAVORABLE,306,32
,113,"<span data-column-name=""view"" class=""operation-item"">",0130643D,Ecole élémentaire Saint Louis Campagne Lévêque,Public,13015,,,0491606710,,ce.0130643D@ac-aix-marseille.fr,216,Eger ou rationalise 1950/1960,17,NULL,NULL,NULL,NULL
,114,"<span data-column-name=""view"" class=""operation-item"">",0130647H,Ecole élémentaire Saint Mitre,Public,13013,,,0491661520,,ce.0130647H@ac-aix-marseille.fr,353,Front populaire 1936/1938,25,3,DEFAVORABLE,350,20
,115,"<span data-column-name=""view"" class=""operation-item"">",0130654R,Ecole élémentaire Sainte-Marthe,Public,13014,,,0491982063,,ce.0130654R@ac-aix-marseille.fr,249,GEEP,16,3,DEFAVORABLE,419,40
,116,"<span data-column-name=""view"" class=""operation-item"">",0130660X,Ecole élémentaire Les Trois Lucs,Public,13012,,,0491932983,,ce.0130660X@ac-aix-marseille.fr,237,GEEP,25,4,FAVORABLE,220,20
,117,"<span data-column-name=""view"" class=""operation-item"">",0130666D,Ecole élémentaire Vallon des Tuves,Public,13015,,,0491655120,,ce.0130666D@ac-aix-marseille.fr,89,Eger ou rationalise 1950/1960,14,5,FAVORABLE,138,18
,118,"<span data-column-name=""view"" class=""operation-item"">",0130669G,Ecole élémentaire Verduron Haut,Public,13015,,,0491513400,,ce.0130669G@ac-aix-marseille.fr,119,Front populaire 1936/1938,23,5,FAVORABLE,112,15
